Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Sean Hjelle,28,0,Maj-NL,San Francisco,9,1,1.0,1.0,,12.0,13,9,9,8,9,2,0,6.75,46,3,0,1,0,1,0,0,0,56,198,0.62,0.22,0.1,0.46,0.28,0.05,1.75,0.306,6.8,1.13,663546
Gunnar Hoglund,25,26,Maj-AL,Athletics,1,1,,1.0,,6.0,10,8,8,2,1,4,0,12.0,25,2,0,0,2,0,0,0,0,27,93,0.63,0.1,0.06,0.46,0.21,0.0,2.0,0.3,1.5,0.5,680684
Grant Holman,25,15,Maj-AL,Athletics,8,2,,1.0,,7.0,10,7,7,5,5,1,1,9.0,31,3,0,0,0,0,0,0,1,37,133,0.56,0.11,0.11,0.31,0.35,0.04,2.143,0.36,6.4,1.0,680880
Clay Holmes,32,1,Maj-NL,New York,5,5,3.0,1.0,,27.2,22,9,9,12,19,5,1,2.93,103,3,0,0,2,0,0,1,0,116,459,0.65,0.18,0.1,0.49,0.2,0.05,1.229,0.215,6.2,1.58,605280
Grant Holmes,29,0,Maj-NL,Atlanta,6,6,1.0,4.0,,31.1,29,14,13,16,48,4,1,3.73,116,6,0,0,4,2,1,0,1,135,547,0.64,0.16,0.16,0.39,0.21,0.07,1.436,0.379,13.8,3.0,656550
Tyler Holton,29,0,Maj-AL,Detroit,12,3,1.0,1.0,,13.2,15,8,8,1,8,4,0,5.27,52,2,0,0,4,1,1,0,0,54,178,0.7,0.2,0.09,0.56,0.24,0.02,1.171,0.268,5.3,8.0,663947
Cade Horton,23,5,Maj-NL,Chicago,4,4,1.0,1.0,,20.2,22,13,8,6,15,0,1,3.48,81,7,0,0,1,2,2,1,1,90,328,0.65,0.16,0.11,0.51,0.22,0.04,1.355,0.324,6.5,2.5,690990
Adrian Houser,32,4,Maj-AL,Chicago,4,4,1.0,2.0,,23.2,27,9,9,9,18,2,0,3.42,92,4,2,0,2,2,0,0,3,103,369,0.62,0.15,0.08,0.47,0.21,0.08,1.521,0.338,6.8,2.0,605288
Brant Hurter,26,4,Maj-AL,Detroit,9,3,1.0,3.0,,11.2,15,13,6,9,14,0,3,4.63,49,1,0,2,3,0,1,0,0,62,238,0.64,0.16,0.09,0.61,0.22,0.0,2.057,0.429,10.8,1.56,676428
Shota Imanaga,31,0,Maj-NL,Chicago,1,1,1.0,,,5.0,1,0,0,1,3,0,0,0.0,16,0,0,0,0,0,0,0,0,17,77,0.64,0.09,0.09,0.31,0.08,0.23,0.4,0.077,5.4,3.0,684007
Jake Irvin,28,5,Maj-NL,Washington,5,5,2.0,2.0,,26.1,34,18,18,7,19,6,2,6.15,111,9,1,0,2,0,1,0,0,120,470,0.64,0.15,0.08,0.42,0.24,0.04,1.557,0.326,6.5,2.71,663623
Jackson Jobe,22,29,Maj-AL,Detroit,1,1,,,,4.2,7,3,3,3,4,1,0,5.79,19,3,0,0,1,0,0,0,0,23,95,0.61,0.22,0.08,0.38,0.38,0.0,2.143,0.429,7.7,1.33,695549
Janson Junk,29,0,Maj-NL,Miami,6,2,2.0,,,26.1,28,12,12,1,22,1,0,4.1,103,5,1,0,2,2,2,0,1,107,385,0.72,0.14,0.1,0.43,0.3,0.04,1.101,0.329,7.5,22.0,676083
Mitch Keller,29,5,Maj-NL,Pittsburgh,5,5,,4.0,,30.0,25,17,16,7,18,2,0,4.8,114,5,0,0,1,1,6,0,0,122,451,0.69,0.16,0.1,0.55,0.18,0.07,1.067,0.242,5.4,2.57,656605
Merrill Kelly,36,5,Maj-NL,Arizona,5,5,2.0,1.0,,29.0,24,13,10,9,35,4,0,3.1,108,3,1,0,3,0,2,1,1,117,472,0.65,0.17,0.13,0.45,0.3,0.04,1.138,0.29,10.9,3.89,518876
Clayton Kershaw,37,0,Maj-NL,Los Angeles,6,6,4.0,,,32.2,28,10,8,9,26,4,0,2.2,121,8,0,0,5,0,0,0,0,130,476,0.62,0.18,0.1,0.49,0.18,0.08,1.133,0.264,7.2,2.89,477132
Yusei Kikuchi,34,1,Maj-AL,Los Angeles,6,6,2.0,2.0,,37.0,29,13,9,14,45,4,0,2.19,135,7,0,2,3,1,2,2,0,150,596,0.64,0.16,0.13,0.42,0.2,0.09,1.162,0.287,10.9,3.21,579328
George Kirby,27,1,Maj-AL,Seattle,6,6,1.0,3.0,,33.0,32,17,17,8,32,7,0,4.64,126,5,0,0,4,1,1,0,0,135,545,0.67,0.15,0.09,0.42,0.25,0.04,1.212,0.284,8.7,4.0,669923
Landon Knack,27,21,Maj-NL,Los Angeles,2,2,1.0,,,9.1,9,5,5,8,7,4,1,4.82,33,1,0,0,1,1,2,0,0,43,188,0.58,0.18,0.07,0.15,0.33,0.11,1.821,0.217,6.8,0.88,689017
Jack Kochanowicz,24,3,Maj-AL,Los Angeles,5,5,,2.0,,21.2,26,16,16,9,19,6,2,6.65,81,2,0,0,2,2,3,2,0,94,386,0.62,0.16,0.1,0.53,0.17,0.02,1.615,0.345,7.9,2.11,686799
Stephen Kolek,28,3,Maj-NL,San Diego,5,5,,2.0,,26.1,24,13,11,10,18,2,4,3.76,95,4,1,0,6,3,2,1,0,112,445,0.62,0.19,0.08,0.43,0.3,0.05,1.291,0.282,6.2,1.8,663568
Dean Kremer,29,4,Maj-AL,Baltimore,5,4,2.0,2.0,,29.0,28,12,12,8,28,2,0,3.72,111,6,0,0,3,0,1,0,0,119,455,0.64,0.16,0.1,0.36,0.3,0.06,1.241,0.321,8.7,3.5,665152
Jacob Latz,29,2,Maj-AL,Texas,7,2,1.0,,,20.1,11,7,7,8,18,2,0,3.1,68,2,1,1,3,0,2,1,0,76,316,0.65,0.14,0.14,0.48,0.2,0.08,0.934,0.188,8.0,2.25,656641
Eric Lauer,30,2,Maj-AL,Toronto,6,3,3.0,,,24.1,14,4,4,9,25,2,1,1.48,85,0,1,0,2,0,1,0,1,96,361,0.69,0.18,0.11,0.36,0.26,0.08,0.945,0.207,9.2,2.78,641778
Jordan Leasure,26,2,Maj-AL,Chicago,10,1,2.0,,,9.2,9,5,4,6,9,1,0,3.72,38,4,0,0,0,0,0,0,1,44,190,0.62,0.15,0.1,0.38,0.17,0.24,1.552,0.286,8.4,1.5,673929
Jack Leiter,25,4,Maj-AL,Texas,5,5,1.0,3.0,,24.1,24,14,14,11,21,5,1,5.18,93,6,0,0,2,1,1,1,0,106,446,0.62,0.13,0.09,0.45,0.21,0.05,1.438,0.279,7.8,1.91,683004
Matthew Liberatore,25,3,Maj-NL,St. Louis,5,5,2.0,3.0,,27.0,35,21,20,4,20,4,0,6.67,110,8,1,0,2,4,2,0,0,119,423,0.64,0.13,0.09,0.41,0.28,0.08,1.444,0.344,6.7,5.0,669461
Zack Littell,29,4,Maj-AL,Tampa Bay,5,5,2.0,2.0,,32.0,35,12,12,1,24,8,3,3.38,127,5,0,0,3,0,1,1,0,131,441,0.69,0.14,0.11,0.48,0.17,0.06,1.125,0.284,6.8,24.0,641793
Nick Lodolo,27,3,Maj-NL,Cincinnati,5,5,1.0,1.0,,25.2,24,12,12,6,25,5,3,4.21,95,5,0,0,4,0,2,2,1,104,437,0.64,0.15,0.11,0.41,0.21,0.09,1.169,0.292,8.8,4.17,666157
Jacob Lopez,27,1,Maj-AL,Athletics,6,5,2.0,2.0,,29.0,25,14,13,9,38,5,5,4.03,110,5,1,0,1,0,3,0,0,124,526,0.63,0.17,0.14,0.22,0.33,0.1,1.172,0.299,11.8,4.22,682052
Pablo L\xc3\xb3pez,29,23,Maj-AL,Minnesota,2,2,1.0,1.0,,10.0,11,6,6,5,7,2,0,5.4,38,2,1,0,1,1,3,0,1,44,167,0.63,0.14,0.12,0.41,0.31,0.03,1.6,0.3,6.3,1.4,641154
Michael Lorenzen,33,0,Maj-AL,Kansas City,5,5,1.0,2.0,,25.2,25,18,18,9,21,6,0,6.31,100,6,2,0,0,0,3,1,1,109,425,0.65,0.15,0.08,0.34,0.34,0.06,1.325,0.26,7.4,2.33,547179
Seth Lugo,35,4,Maj-AL,Kansas City,5,5,1.0,1.0,,26.1,17,8,8,8,26,3,2,2.73,93,3,0,0,0,0,0,2,0,104,425,0.63,0.17,0.09,0.44,0.24,0.09,0.949,0.219,8.9,3.25,607625
Jes\xc3\xbas Luzardo,27,4,Maj-NL,Philadelphia,5,5,2.0,3.0,,23.1,35,25,25,10,27,4,0,9.64,102,8,0,0,2,0,4,0,0,112,446,0.63,0.18,0.12,0.35,0.33,0.03,1.929,0.437,10.4,2.7,666200
Tyler Mahle,30,16,Maj-AL,Texas,3,3,1.0,1.0,,17.0,19,8,8,6,13,2,0,4.24,67,4,0,0,2,0,0,0,0,73,268,0.67,0.15,0.13,0.31,0.33,0.09,1.471,0.327,6.9,2.17,641816
Germ\xc3\xa1n M\xc3\xa1rquez,30,2,Maj-NL,Colorado,5,5,2.0,2.0,,24.2,35,15,8,5,24,4,1,2.92,109,9,0,0,2,2,6,1,0,117,416,0.64,0.15,0.1,0.36,0.33,0.05,1.622,0.373,8.8,4.8,608566
Davis Martin,28,14,Maj-AL,Chicago,3,3,,2.0,,18.0,17,10,10,3,15,5,1,5.0,69,7,0,0,0,0,2,1,0,73,274,0.63,0.11,0.12,0.48,0.19,0.06,1.111,0.245,7.5,5.0,663436
Nick Martinez,34,3,Maj-NL,Cincinnati,6,4,1.0,3.0,,21.1,28,17,17,6,18,8,3,7.17,89,5,0,0,1,0,2,1,0,98,367,0.65,0.19,0.07,0.27,0.21,0.17,1.594,0.317,7.6,3.0,607259
Zebby Matthews,25,22,Maj-AL,Minnesota,2,2,1.0,,,12.0,10,5,5,4,11,2,0,3.75,44,1,0,0,2,0,0,0,0,48,171,0.67,0.19,0.13,0.36,0.21,0.15,1.167,0.258,8.3,2.75,805673
Dustin May,27,5,Maj-NL,Los Angeles,4,4,1.0,1.0,,23.0,23,14,13,12,14,4,3,5.09,88,5,2,3,1,1,3,0,0,106,355,0.61,0.18,0.06,0.42,0.19,0.12,1.522,0.268,5.5,1.17,669160
Adam Mazur,24,8,Maj-NL,Miami,1,1,,1.0,,5.2,5,4,4,4,5,1,0,6.35,23,1,0,0,0,0,0,0,0,27,97,0.61,0.13,0.09,0.44,0.17,0.0,1.588,0.235,7.9,1.25,800049
Lance McCullers Jr.,31,16,Maj-AL,Houston,3,3,1.0,1.0,,17.0,11,7,7,6,25,2,1,3.71,62,5,0,0,0,0,1,0,0,70,294,0.62,0.21,0.12,0.41,0.19,0.05,1.0,0.257,13.2,4.17,621121
Michael McGreevy,24,2,Maj-NL,St. Louis,3,3,,1.0,,15.2,18,10,10,2,11,2,0,5.74,64,2,2,0,1,0,0,0,0,66,254,0.63,0.16,0.08,0.34,0.36,0.06,1.277,0.314,6.3,5.5,700241
Tylor Megill,29,12,Maj-NL,New York,3,3,1.0,1.0,,14.2,14,12,9,6,17,2,3,5.52,58,5,0,0,0,0,0,0,0,68,269,0.64,0.12,0.17,0.36,0.21,0.05,1.364,0.308,10.4,2.83,656731
Max Meyer,26,24,Maj-NL,Miami,1,1,,1.0,,5.0,10,5,4,1,5,2,0,7.2,24,1,0,0,0,0,0,1,0,25,77,0.7,0.16,0.13,0.42,0.21,0.05,2.2,0.471,9.0,5.0,676974
Miles Mikolas,36,4,Maj-NL,St. Louis,5,5,,3.0,,26.0,36,18,17,3,20,4,0,5.88,109,9,0,0,2,3,3,0,1,115,432,0.69,0.2,0.08,0.42,0.26,0.08,1.5,0.364,6.9,6.67,571945
Wade Miley,38,11,Maj-NL,Cincinnati,3,2,1.0,,,12.0,15,9,9,6,7,3,1,6.75,47,2,0,0,2,0,2,0,1,55,205,0.6,0.19,0.04,0.35,0.3,0.05,1.75,0.324,5.3,1.17,489119
Bryce Miller,26,20,Maj-AL,Seattle,2,2,,1.0,,9.0,12,8,8,2,4,2,2,8.0,38,3,0,0,0,0,3,1,0,42,141,0.66,0.13,0.09,0.38,0.18,0.09,1.556,0.313,4.0,2.0,682243
Jacob Misiorowski,23,1,Maj-NL,Milwaukee,3,3,3.0,,,16.0,3,2,2,7,19,1,0,1.13,49,0,0,0,2,0,1,0,0,56,246,0.66,0.15,0.13,0.43,0.13,0.1,0.625,0.069,10.7,2.71,694819
Casey Mize,28,4,Maj-AL,Detroit,5,5,1.0,1.0,,24.1,33,11,10,8,23,3,0,3.7,103,6,0,0,1,1,2,1,0,113,434,0.65,0.15,0.09,0.38,0.29,0.02,1.685,0.385,8.5,2.88,663554
Frankie Montas,32,2,Maj-NL,New York,1,1,,,,5.0,3,0,0,3,5,0,0,0.0,17,0,0,0,1,0,1,0,0,20,80,0.58,0.2,0.1,0.25,0.25,0.08,1.2,0.25,9.0,1.67,593423
Keider Montero,24,7,Maj-AL,Detroit,4,1,1.0,,,20.1,22,7,7,5,15,6,0,3.1,81,2,0,0,1,0,1,1,0,86,301,0.71,0.19,0.09,0.48,0.14,0.09,1.328,0.267,6.6,3.0,672456
Charlie Morton,41,2,Maj-AL,Baltimore,5,5,3.0,,,25.0,27,9,8,8,32,0,3,2.88,96,3,1,0,1,1,3,0,4,111,438,0.66,0.19,0.12,0.4,0.28,0.06,1.4,0.415,11.5,4.0,450203
Ryne Nelson,27,2,Maj-NL,Arizona,5,4,2.0,1.0,,22.2,14,10,9,10,18,3,2,3.57,80,2,1,0,2,0,0,0,0,92,388,0.62,0.12,0.07,0.42,0.18,0.1,1.059,0.186,7.1,1.8,669194
Bailey Ober,29,3,Maj-AL,Minnesota,5,5,,4.0,,28.1,33,25,25,8,23,11,2,7.94,116,4,0,0,0,1,0,2,0,127,471,0.66,0.16,0.11,0.3,0.15,0.17,1.447,0.265,7.3,2.88,641927
Shohei Ohtani,30,4,Maj-NL,Los Angeles,2,2,,,,2.0,2,1,1,0,2,0,0,4.5,8,0,0,0,0,1,0,0,0,9,46,0.61,0.13,0.11,0.43,0.29,0.14,1.0,0.286,9.0,,660271
Luis Ortiz,26,5,Maj-AL,Cleveland,5,5,2.0,3.0,,28.1,26,11,11,13,32,3,1,3.49,106,1,0,0,4,1,2,1,0,121,473,0.67,0.21,0.11,0.52,0.27,0.01,1.376,0.319,10.2,2.46,682847
Chris Paddack,29,2,Maj-AL,Minnesota,5,5,1.0,1.0,,28.0,31,21,19,5,20,4,1,6.11,112,8,1,0,1,2,0,1,0,121,443,0.65,0.14,0.09,0.37,0.26,0.09,1.286,0.3,6.4,4.0,663978
Andre Pallante,26,0,Maj-NL,St. Louis,5,5,1.0,1.0,,25.2,28,15,14,6,18,3,1,4.91,102,4,1,0,0,0,1,0,1,111,426,0.64,0.14,0.12,0.64,0.21,0.01,1.325,0.309,6.3,3.0,669467
Carson Palmquist,24,5,Maj-NL,Colorado,4,4,,1.0,,17.1,16,13,13,10,16,6,3,6.75,65,4,1,0,0,3,5,0,0,81,337,0.61,0.18,0.08,0.25,0.21,0.12,1.5,0.217,8.3,1.6,687223
Mitchell Parker,25,3,Maj-NL,Washington,5,5,1.0,4.0,,26.1,27,15,13,7,19,6,0,4.44,103,5,0,0,2,1,0,0,0,111,416,0.66,0.16,0.1,0.33,0.31,0.05,1.291,0.266,6.5,2.71,680730
Chad Patrick,26,3,Maj-NL,Milwaukee,5,5,1.0,3.0,,27.0,31,16,16,9,34,5,1,5.33,110,6,0,0,2,0,0,0,0,120,459,0.67,0.15,0.14,0.3,0.32,0.04,1.481,0.366,11.3,3.78,694477
Ryan Pepiot,27,5,Maj-AL,Tampa Bay,5,5,2.0,1.0,,31.1,17,7,7,9,39,4,2,2.01,105,3,0,0,2,0,1,2,0,116,491,0.67,0.16,0.14,0.35,0.21,0.12,0.83,0.21,11.2,4.33,686752
Freddy Peralta,29,2,Maj-NL,Milwaukee,6,6,3.0,1.0,,33.0,27,13,13,11,38,5,2,3.55,123,6,0,0,2,0,0,0,0,137,574,0.62,0.14,0.12,0.4,0.24,0.13,1.152,0.275,10.4,3.45,642547
Eury P\xc3\xa9rez,22,5,Maj-NL,Miami,3,3,,2.0,,11.2,12,8,8,7,11,0,0,6.17,47,3,1,0,0,0,2,0,0,54,238,0.64,0.13,0.08,0.33,0.25,0.06,1.629,0.333,8.5,1.57,691587
David Peterson,29,4,Maj-NL,New York,5,5,2.0,1.0,,32.2,29,12,12,9,24,2,1,3.31,121,4,0,0,5,0,1,0,1,131,456,0.63,0.16,0.11,0.56,0.28,0.02,1.163,0.284,6.6,2.67,656849
Brandon Pfaadt,26,4,Maj-NL,Arizona,5,5,1.0,2.0,,18.0,31,22,22,5,16,4,5,11.0,84,11,0,0,1,0,4,0,0,94,366,0.63,0.14,0.1,0.44,0.29,0.03,2.0,0.422,8.0,3.2,694297
Nick Pivetta,32,1,Maj-NL,San Diego,6,6,3.0,,,34.2,31,18,17,6,38,5,0,4.41,130,7,0,0,1,2,1,1,1,139,524,0.67,0.2,0.1,0.33,0.25,0.14,1.067,0.292,9.9,6.33,601713
Drew Pomeranz,36,0,Maj-NL,Chicago,10,2,,1.0,,9.0,9,1,0,3,6,0,0,0.0,32,0,0,1,1,1,3,1,0,36,131,0.67,0.17,0.06,0.37,0.3,0.15,1.333,0.333,6.0,2.0,519141
Cade Povich,25,11,Maj-AL,Baltimore,4,3,1.0,2.0,,18.1,24,12,12,6,24,2,1,5.89,74,5,2,0,2,2,0,0,0,83,337,0.63,0.17,0.09,0.35,0.29,0.06,1.636,0.44,11.8,4.0,700249
Quinn Priester,24,4,Maj-NL,Milwaukee,5,3,4.0,,,26.1,26,8,8,3,18,3,1,2.73,102,5,0,0,2,0,2,1,0,106,419,0.66,0.18,0.1,0.61,0.2,0.06,1.101,0.284,6.2,6.0,682990
Cal Quantrill,30,2,Maj-NL,Miami,5,5,,3.0,,23.2,27,13,12,6,20,4,3,4.56,94,6,2,0,3,0,6,0,1,103,436,0.61,0.14,0.08,0.34,0.3,0.07,1.394,0.329,7.6,3.33,615698
Jose Quintana,36,5,Maj-NL,Milwaukee,4,4,1.0,1.0,,20.1,20,10,8,14,12,1,1,3.54,79,1,0,0,2,0,3,0,0,94,374,0.59,0.17,0.07,0.46,0.25,0.07,1.672,0.288,5.3,0.86,500779
Cole Ragans,27,21,Maj-AL,Kansas City,1,1,,,,3.0,5,5,5,3,4,1,1,15.0,14,1,0,0,0,0,1,0,0,18,78,0.6,0.17,0.12,0.3,0.4,0.1,2.667,0.444,12.0,1.33,666142
Drew Rasmussen,29,1,Maj-AL,Tampa Bay,6,6,4.0,1.0,,32.1,21,8,8,8,29,2,2,2.23,111,2,0,0,4,0,2,3,0,121,468,0.65,0.18,0.09,0.48,0.21,0.09,0.897,0.238,8.1,3.63,656876
Robbie Ray,33,4,Maj-NL,San Francisco,5,5,1.0,2.0,,29.0,25,14,11,9,35,4,0,3.41,111,5,1,0,0,1,0,1,0,121,482,0.66,0.15,0.16,0.26,0.3,0.08,1.172,0.288,10.9,3.89,592662
Colin Rea,34,4,Maj-NL,Chicago,5,4,1.0,2.0,,26.2,37,19,19,5,14,8,2,6.41,112,5,0,0,3,0,2,1,1,119,423,0.67,0.15,0.09,0.35,0.31,0.09,1.575,0.322,4.7,2.8,607067
Kumar Rocker,25,5,Maj-AL,Texas,3,3,2.0,1.0,,13.2,15,7,7,6,15,1,1,4.61,53,2,0,0,1,1,4,0,0,62,237,0.66,0.15,0.13,0.48,0.25,0.05,1.537,0.368,9.9,2.5,677958
Carlos Rod\xc3\xb3n,32,2,Maj-AL,New York,5,5,2.0,2.0,,29.0,23,13,12,8,29,5,3,3.72,106,6,0,0,3,0,2,0,0,117,456,0.63,0.16,0.14,0.42,0.19,0.09,1.069,0.25,9.0,3.63,607074
Eduardo Rodr\xc3\xadguez,32,3,Maj-NL,Arizona,4,4,2.0,1.0,,22.0,23,6,5,6,22,3,0,2.05,85,6,0,1,1,0,0,2,0,93,343,0.67,0.16,0.13,0.42,0.19,0.13,1.318,0.333,9.0,3.67,593958
Trevor Rogers,27,3,Maj-AL,Baltimore,2,2,1.0,,,10.1,8,3,3,3,8,0,0,2.61,39,1,0,0,0,0,0,0,0,42,172,0.67,0.16,0.1,0.45,0.23,0.06,1.065,0.258,7.0,2.67,669432
Ryan Rolison,27,2,Maj-NL,Colorado,10,1,,,,12.0,16,11,10,7,7,2,0,7.5,45,0,0,0,4,2,1,0,1,55,184,0.61,0.15,0.08,0.61,0.15,0.0,1.917,0.368,5.3,1.0,669020
Joe Ross,32,5,Maj-NL,Philadelphia,8,1,,,,11.2,13,10,10,7,8,3,0,7.71,47,3,1,0,0,0,0,1,0,54,212,0.61,0.14,0.08,0.46,0.21,0.05,1.714,0.278,6.2,1.14,605452
Landen Roupp,26,5,Maj-NL,San Francisco,5,5,2.0,2.0,,24.0,21,13,10,14,21,1,1,3.75,90,5,0,1,2,1,0,0,0,106,403,0.61,0.2,0.09,0.46,0.23,0.01,1.458,0.29,7.9,1.5,694738
Joe Ryan,29,1,Maj-AL,Minnesota,5,5,3.0,1.0,,28.1,18,12,11,11,32,2,3,3.49,100,5,0,0,2,1,5,2,0,115,476,0.65,0.16,0.11,0.49,0.28,0.03,1.024,0.239,10.2,2.91,657746
Chris Sale,36,8,Maj-NL,Atlanta,4,4,3.0,1.0,,27.2,15,2,2,10,36,0,2,0.65,96,1,0,0,0,0,0,2,0,108,424,0.67,0.18,0.1,0.43,0.15,0.1,0.904,0.25,11.7,3.6,519242
Cristopher S\xc3\xa1nchez,28,0,Maj-NL,Philadelphia,6,6,2.0,1.0,,39.2,32,9,9,8,38,1,2,2.04,147,5,0,0,2,0,1,2,0,157,572,0.67,0.17,0.14,0.55,0.23,0.04,1.008,0.287,8.6,4.75,650911
Max Scherzer,40,1,Maj-AL,Toronto,1,1,,,,5.0,6,3,3,3,4,0,0,5.4,19,2,0,0,1,0,1,1,0,22,83,0.66,0.22,0.06,0.4,0.4,0.0,1.8,0.4,7.2,1.33,453286
Clarke Schmidt,29,5,Maj-AL,New York,5,5,3.0,1.0,,32.1,17,3,3,7,27,1,1,0.84,112,3,1,0,1,0,3,0,0,120,481,0.67,0.16,0.11,0.32,0.18,0.15,0.742,0.19,7.5,3.86,657376
Paxton Schultz,27,2,Maj-AL,Toronto,6,2,,,,10.2,12,6,6,4,13,1,0,5.06,41,3,0,0,0,3,0,0,0,48,203,0.59,0.15,0.1,0.32,0.29,0.13,1.5,0.367,11.0,3.25,687606
Spencer Schwellenbach,25,3,Maj-NL,Atlanta,5,5,3.0,,,35.1,26,12,11,5,36,4,0,2.8,126,3,1,0,2,2,0,1,1,133,484,0.69,0.19,0.13,0.47,0.25,0.1,0.877,0.25,9.2,7.2,680885
JP Sears,29,4,Maj-AL,Athletics,5,5,1.0,2.0,,23.2,27,16,16,8,20,5,2,6.08,93,6,0,0,1,1,1,1,0,105,420,0.6,0.15,0.1,0.21,0.31,0.09,1.479,0.319,7.6,2.5,676664
Kodai Senga,32,14,Maj-NL,New York,3,3,2.0,,,18.0,8,3,3,5,18,2,0,1.5,60,1,1,0,1,0,0,1,0,65,279,0.61,0.13,0.15,0.52,0.12,0.05,0.722,0.15,9.0,3.6,673540
Antonio Senzatela,30,4,Maj-NL,Colorado,5,4,2.0,1.0,,22.1,27,17,16,13,11,3,0,6.45,92,3,1,0,3,2,2,0,0,107,425,0.58,0.16,0.06,0.45,0.24,0.04,1.791,0.3,4.4,0.85,622608
Luis Severino,31,2,Maj-AL,Athletics,6,6,1.0,4.0,,35.0,42,26,24,11,18,5,3,6.17,144,9,0,0,2,2,1,0,1,160,594,0.62,0.14,0.06,0.38,0.3,0.07,1.514,0.301,4.6,1.64,622663
Emmet Sheehan,25,8,Maj-NL,Los Angeles,1,1,,,,4.0,3,1,1,0,6,0,0,2.25,15,1,0,0,0,0,0,0,0,15,65,0.66,0.09,0.15,0.33,0.33,0.11,0.75,0.333,13.5,,686218
Jared Shuster,26,22,Maj-AL,Chicago,2,2,,,,2.0,6,4,4,1,1,0,1,18.0,12,2,0,0,0,0,1,0,0,14,51,0.67,0.12,0.06,0.73,0.18,0.0,3.5,0.545,4.5,1.0,694363
Brady Singer,28,1,Maj-NL,Cincinnati,5,5,1.0,3.0,,27.0,23,11,11,13,27,3,3,3.67,97,8,0,0,2,3,2,0,0,117,475,0.62,0.18,0.11,0.39,0.24,0.08,1.333,0.286,9.0,2.08,663903
Paul Skenes,23,1,Maj-NL,Pittsburgh,6,6,1.0,2.0,,37.1,20,8,7,11,40,1,1,1.69,130,8,0,0,2,0,1,1,0,142,570,0.65,0.15,0.15,0.47,0.21,0.07,0.83,0.213,9.6,3.64,694973
Tarik Skubal,28,2,Maj-AL,Detroit,5,5,4.0,,,33.1,25,7,7,6,33,2,0,1.89,120,5,0,0,1,1,0,2,0,127,482,0.7,0.15,0.13,0.48,0.2,0.07,0.93,0.267,8.9,5.5,669373
Shane Smith,25,3,Maj-AL,Chicago,5,5,2.0,2.0,,21.1,22,15,14,14,19,2,3,5.91,81,3,0,0,4,1,2,0,0,100,411,0.62,0.14,0.11,0.39,0.28,0.03,1.688,0.328,8.0,1.36,681343
AJ Smith-Shawver,22,28,Maj-NL,Atlanta,1,1,,,,2.2,3,2,2,1,1,1,0,6.75,10,0,0,0,1,0,1,0,0,11,38,0.71,0.16,0.13,0.33,0.22,0.0,1.5,0.25,3.4,1.0,700363
Jos\xc3\xa9 Soriano,26,5,Maj-AL,Los Angeles,5,5,2.0,,,30.1,23,9,9,13,33,0,1,2.67,107,4,0,0,5,1,0,0,0,123,502,0.64,0.18,0.14,0.71,0.16,0.0,1.187,0.307,9.8,2.54,667755
Michael Soroka,27,4,Maj-NL,Washington,5,5,2.0,2.0,,27.2,18,14,14,9,34,5,6,4.55,100,4,0,0,0,0,2,1,0,115,459,0.63,0.17,0.1,0.36,0.18,0.06,0.976,0.213,11.1,3.78,647336
